kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
MICE-2A;Senin;07.30 - 08.20;2;Praktik Perkantoran;2;4;Dr. Etty Khongrat,SE.,M.Si;201
MICE-4A;Senin;07.30 - 08.20;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;117
MICE-2A;Senin;08.20 - 09.10;2;Praktik Perkantoran;2;4;Dr. Etty Khongrat,SE.,M.Si;201
MICE-4A;Senin;08.20 - 09.10;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;117
MICE-2A;Senin;09.10 - 10.00;2;Keprotokolan;2;4;Meisa Sofia, S.Tr., M.Par;114
MICE-4A;Senin;09.10 - 10.00;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;312
MICE-6A;Senin;09.10 - 10.00;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si./Noni Noerkaisar, S.M.B., M.M.;online
MICE-2A;Senin;10.00 - 10.50;2;Keprotokolan;2;4;Meisa Sofia, S.Tr., M.Par;114
MICE-4A;Senin;10.00 - 10.50;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;312
MICE-6A;Senin;10.00 - 10.50;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si./Noni Noerkaisar, S.M.B., M.M.;online
MICE-2A;Senin;10.50 - 11.40;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;106
MICE-4A;Senin;10.50 - 11.40;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M;116
MICE-6A;Senin;10.50 - 11.40;6;Manajemen Sumber Daya Manusia;2;4;Djuni Akbar, SE, M.Si;online
MICE-2A;Senin;12.30 - 13.20;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;106
MICE-4A;Senin;12.30 - 13.20;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M;116
MICE-6A;Senin;12.30 - 13.20;6;Manajemen Sumber Daya Manusia;2;4;Djuni Akbar, SE, M.Si;online
MICE-2A;Senin;13.20 - 14.10;2;Pengantar Marketing;2;4;Djuni Akbar, SE, M.Si;106
MICE-4A;Senin;13.20 - 14.10;4;Bahasa Jepang 2;2;4;Maria Nino Istia , S.S., M.Si.;310
MICE-2A;Senin;14.10 - 15.00;2;Pengantar Marketing;2;4;Djuni Akbar, SE, M.Si;106
MICE-4A;Senin;14.10 - 15.00;4;Bahasa Jepang 2;2;4;Maria Nino Istia , S.S., M.Si.;310
MICE-2A;Selasa;07.30 - 08.20;2;Manajemen Logistik MICE;2;4;M. Iqbal Katik RE., S.ST., M.P.Par.;106
MICE-4A;Selasa;07.30 - 08.20;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;105
MICE-6A;Selasa;07.30 - 08.20;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Selasa;08.20 - 09.10;2;Manajemen Logistik MICE;2;4;M. Iqbal Katik RE., S.ST., M.P.Par.;106
MICE-4A;Selasa;08.20 - 09.10;4;CIQ (Custom Immigration Quarantine);2;4;Raden Ayu Trisnayoni, S.Tr.Par., M.Tr.Par;105
MICE-6A;Selasa;08.20 - 09.10;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Selasa;09.10 - 10.00;2;Geografi Destinasi Pariwisata;2;4;Rimsky K Judiseno, SE, MM, PhD;106
MICE-4A;Selasa;09.10 - 10.00;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-6A;Selasa;09.10 - 10.00;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-6A;Selasa;09.10 - 10.00;6;Manajemen Sumber Daya Manusia;2;4;Djuni Akbar, SE, M.Si;online
MICE-2A;Selasa;10.00 - 10.50;2;Geografi Destinasi Pariwisata;2;4;Rimsky K Judiseno, SE, MM, PhD;106
MICE-4A;Selasa;10.00 - 10.50;4;Perencanaan Incentive Travel;2;4;Dr. Christina L. Rudatin, SE, M.Si/Karbala Madania S.I.Kom., M.Si;online
MICE-6A;Selasa;10.00 - 10.50;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-6A;Selasa;10.00 - 10.50;6;Manajemen Sumber Daya Manusia;2;4;Djuni Akbar, SE, M.Si;online
MICE-2A;Selasa;10.50 - 11.40;2;Registrasi;2;4;Dr. Etty Khongrat,SE.,M.Si;203
MICE-4A;Selasa;10.50 - 11.40;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;115
MICE-6A;Selasa;10.50 - 11.40;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Selasa;12.30 - 13.20;2;Registrasi;2;4;Dr. Etty Khongrat,SE.,M.Si;203
MICE-4A;Selasa;12.30 - 13.20;4;Self Manajemen dan Interpersonal  Skill;2;4;M. Hamdi, S.Psi;115
MICE-6A;Selasa;12.30 - 13.20;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Selasa;13.20 - 14.10;2;Pengantar Marketing;2;4;Djuni Akbar, SE, M.Si;103
MICE-4A;Selasa;13.20 - 14.10;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;306
MICE-6A;Selasa;13.20 - 14.10;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Selasa;14.10 - 15.00;2;Pengantar Marketing;2;4;Djuni Akbar, SE, M.Si;103
MICE-4A;Selasa;14.10 - 15.00;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;306
MICE-6A;Selasa;14.10 - 15.00;6;Penyelenggaraan Konvensi;6;12;M. Iqbal Katik RE., S.ST., M.P.Par./Karbala Madania S.I.Kom., M.Si;online
MICE-2A;Rabu;07.30 - 08.20;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;103
MICE-4A;Rabu;07.30 - 08.20;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M;302
MICE-6A;Rabu;07.30 - 08.20;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
MICE-2A;Rabu;08.20 - 09.10;2;Dasar-dasar Akuntansi;2;4;Sudarno, S.E., M.Si./Yuningsih S.E., M.Si.;103
MICE-4A;Rabu;08.20 - 09.10;4;Manajemen Keuangan;2;4;Asterina Anggraini, M.M;302
MICE-6A;Rabu;08.20 - 09.10;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
MICE-2A;Rabu;09.10 - 10.00;2;Pendidikan Kewarganegaraan;2;4;Riza Hadikusuma, M.Ag;103
MICE-4A;Rabu;09.10 - 10.00;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;302
MICE-6A;Rabu;09.10 - 10.00;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
MICE-6A;Rabu;09.10 - 10.00;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si./Noni Noerkaisar, S.M.B., M.M.;online
MICE-2A;Rabu;10.00 - 10.50;2;Pendidikan Kewarganegaraan;2;4;Riza Hadikusuma, M.Ag;103
MICE-4A;Rabu;10.00 - 10.50;4;Bahasa Inggris 4;2;4;Dr. Tantri Sari Safitry, S.Pd., M.Pd;302
MICE-6A;Rabu;10.00 - 10.50;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
MICE-6A;Rabu;10.00 - 10.50;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si./Noni Noerkaisar, S.M.B., M.M.;online
MICE-2A;Rabu;10.50 - 11.40;2;Praktik Perkantoran;2;4;Dr. Etty Khongrat,SE.,M.Si;203
MICE-4A;Rabu;10.50 - 11.40;4;Desain Grafis;2;4;Anggi Anggarini, M.Ds.;301
MICE-6A;Rabu;10.50 - 11.40;6;Penyelenggaraan Pameran;6;12;Fauzi Mubarak, S.ST, MT;online
